con-giunz.sub.fin.,IGNORED,
paraverbo dichiar./escl.,IGNORED,
paraverbo dichiar. / escl.,IGNORED,
pron. masch. sing. det.,IGNORED,
agg. solo femm. sing.,IGNORED,
para-verbo interr.,IGNORED,
avv.locat. det.,IGNORED,
pron.indef. non det. masch.sing.,IGNORED,
pron.,IGNORED,
pers. femm. sing.,IGNORED,
pers. pl.,IGNORED,
pers. masch. sing.,IGNORED,
solo terza pers.,IGNORED,
agg. solo masch.sing.,IGNORED,
quantif. num.card,IGNORED,
pron.masch.sing.,IGNORED,
avv.preverb,IGNORED,
para-verbo dichiar,IGNORED,
agg. solo sing.,IGNORED,
paraverbo so-ciale,IGNORED,
paraverbo escl./ottat.,IGNORED,
agg.prenom. inv.,IGNORED,
agg.prenom. e postnom.,IGNORED,
confisso verbale,IGNORED,
pron. dativo clitico,IGNORED,
pro-avv.locat. clitico,IGNORED,
paraverbo in-terr.,IGNORED,
art.det. masch. e femm. pl.,IGNORED,
pron.clitico.pl.,IGNORED,
pers. sing. masch. e femm.,IGNORED,
para-verbo dichiar. e iuss.,IGNORED,
para-verbo dichiar./iuss.,IGNORED,
agg. prenom. e postnom.,IGNORED,
paraverbo iussivo,IGNORED,
intens.pre-avv.,IGNORED,
pron.distr.masch.sing.,IGNORED,
pron.distr.femm.sing.,IGNORED,
det.poss.sing.masch. e femm.,IGNORED,
paraverbo dichiar. e escl.,IGNORED,
congiunz.subord.fin.,IGNORED,
agg. solo femm. solo sing.,IGNORED,
confisso agg. e sost.,IGNORED,
avv.pre-congiunz.sub.,IGNORED,
pron. accusativo clitico,IGNORED,
agg.prenom. det. non ref.,IGNORED,
intens. var.,IGNORED,
pers. sing. non clitico,IGNORED,
agg. e pron. poss.,IGNORED,
pa-raverbo escl.,IGNORED,
confisso,IGNORED,
confisso verb.,IGNORED,
agg. femm.,IGNORED,
art.indet. masch. sing.,IGNORED,
det.pl.,IGNORED,
art.indet. femm. sing.,IGNORED,
prep. dat. monoval.,IGNORED,
pro-det. femm. sing.,IGNORED,
agg.femm.,IGNORED,
agg.masch.,IGNORED,
non det. solo sing. temp.,IGNORED,
pron.indef.masch.,IGNORED,
agg.pre-num. pl.,IGNORED,
pronom.,IGNORED,
prep.grad.,IGNORED,
prep. grad.,IGNORED,
paraverbo interrog.,IGNORED,
pron.genitivo,IGNORED,
congiunz. correl.,IGNORED,
agg. solo mach.,IGNORED,
pers. pl. masch. e femm.,IGNORED,
confisso sost. e agg.,IGNORED,
paraverbo rituale,IGNORED,
det.poss.sing.,IGNORED,
agg. femm. sing.,IGNORED,
art.det. masch. sing.,IGNORED,
pron.clitico.masch.sing. accusativo,IGNORED,
congiunz.correlat.,IGNORED,
paraver-bo dichiar.,IGNORED,
quantif. masch. e femm. sing.,IGNORED,
iuss.,IGNORED,
pro-avv.locat. interr. o rel.,IGNORED,
pro-avv.locat. interr.,IGNORED,
pro-avv. rel.,IGNORED,
escl.,IGNORED,
intens.postagg.var.,IGNORED,
paraverbo escl. e iuss.,IGNORED,
avv.pre-verb.,IGNORED,
avv.pre-prep,IGNORED,
proforma interr. del determinante inv.,IGNORED,
pro-det. interr.,IGNORED,
quantif. sing. masch. e femm.,IGNORED,
pro-avv. interr. / rel.,IGNORED,
pro-agg. interr. inv.,IGNORED,
congiunz.sub.fin. monoval.,IGNORED,
quantif. num. card. pl.,IGNORED,
quantif. pl.,IGNORED,
agg. femm. solo sing.,IGNORED,
paraverbo dichiar. o iuss.,IGNORED,
congiunz. sub. fin.,IGNORED,
pron. rifl.,IGNORED,
congiunz.sub.non fin.,IGNORED,
agg.num.ord,IGNORED,
det.poss.sing. masch. e femm.,IGNORED,
agg.postnom.,IGNORED,
prep. locat. grad.,IGNORED,
paraverbo sociale e iuss.,IGNORED,
para-verbo ottat.,IGNORED,
agg.prenom. masch. sing.,IGNORED,
avv. pre-prep.,IGNORED,
postnom. inv.,IGNORED,
locat.,IGNORED,
paraverbo iuss. e escl.,IGNORED,
pro-det. masch. e femm. inv.,IGNORED,
agg.indef.masch.sing.,IGNORED,
masch. o femm.,IGNORED,
avv.lo-cat.,IGNORED,
agg.poss.,IGNORED,
prenom.,IGNORED,
postnom.,IGNORED,
quantif.num.card. pl.,IGNORED,
pron.indef.pl,IGNORED,
sing.,IGNORED,
quan-tif.univ.,IGNORED,
quantif. num.card. sing.,IGNORED,
agg. solo masch. pl.,IGNORED,
agg. solo femm. pl.,IGNORED,
confisso quantif. num.card.,IGNORED,
pron. allocutivo a pers. pl.,IGNORED,
pron. allocutivo,IGNORED,
ma-sch. e femm. sing.,IGNORED,
pers. masch. e femm. pl.,IGNORED,
sost.femm.,NOUN,
sost.femm. temp.,NOUN,
sost.femm.det.,NOUN,
sost.femm.massa,NOUN,
sost.masch.,NOUN,
sost.masch. solo vocativo,NOUN,
sost.masch. temp.,NOUN,
sost.masch.det.,NOUN,
sost.masch.massa,NOUN,
sost.masch.massa [-N],NOUN,
sost. non ref.,NOUN,
sost.pl.,NOUN,
titolo femm. solo sing. det.,NOUN,
titolo femm. solo sing. non det.,NOUN,
titolo masch. solo sing. det.,NOUN,
titolo masch. solo sing. non det.,NOUN,
sost.masch,NOUN,
sost.femm.inv.,NOUN,
sost.masch. solo sing.,NOUN,
sost.femm. solo sing. det.,NOUN,
sost.masch. inv.,NOUN,
sost.masch.inv.,NOUN,
sost.masch.massa.,NOUN,
sost.femm. solo sing.,NOUN,
sost.masch.det. solo sing.,NOUN,
sost.masch.massa locat.,NOUN,
sost.femm. inv.,NOUN,
sost.masch. e femm.,NOUN,
sost.femm. det. solo sing.,NOUN,
sost.femm. e agg.,NOUN,
sost.masch. e agg.,NOUN,
e sost.,NOUN,
sost.femm. non ref.,NOUN,
sost.masch.det. solo sing. non ref.,NOUN,
sost.masch.inv,NOUN,
sost.femn.,NOUN,
sost.ma-sch.,NOUN,
sost.femm. solo pl.,NOUN,
sost.femm.massa.,NOUN,
sost.femm. pl.,NOUN,
sost.masch. solo sing. det.,NOUN,
sost.femm. quant.,NOUN,
sost.femm.massa solo sing.,NOUN,
sost. inv.,NOUN,
sost.femm.pl.,NOUN,
sost.masch. quant. solo sing.,NOUN,
sost.ma-sch.massa,NOUN,
sost.masch. massa,NOUN,
sost.masch. solo sing. det. e non det.,NOUN,
sost.masch. det.,NOUN,
sost.masch. temp. inv.,NOUN,
sost.pl. det.,NOUN,
sost.femm. solo sing. temp.,NOUN,
sost.masch. inv,NOUN,
sost.femm,NOUN,
sost. solo sing.,NOUN,
sost. masch. solo sing.,NOUN,
sost.masch. solo sing. det,NOUN,
sost.pl. det. temp.,NOUN,
sost.femm.det. e non det. solo sing.,NOUN,
solo vocativo,NOUN,
sost.masch. solo sing. temp.,NOUN,
sost.femm.temp. solo sing.,NOUN,
sost.masch.temp.,NOUN,
sost.femm.massa locat.,NOUN,
sost.femm. solo sing. det. e non det.,NOUN,
sost.pl. non ref.,NOUN,
sost.femm. det.,NOUN,
sost.femm.solo pl.,NOUN,
sost.masch.solo sing.,NOUN,
sost.pl,NOUN,
sost.masch. solo pl.,NOUN,
sost.masch. inv. det.,NOUN,
sost. masch.,NOUN,
